E6	E5	E4	E3	E2	E1	Y
45	70	66	48	41	51	71
85	71	83	60	47	50	81
50	76	86	55	48	56	71
54	80	78	73	49	56	78
52	62	80	49	41	53	67
66	60	54	71	36	76	81
18	61	92	35	45	7	43
52	62	80	49	41	53	67
14	51	83	8	38	27	48
39	63	80	38	37	30	53
47	59	77	47	35	43	68
42	59	74	41	41	40	67
60	71	83	45	31	51	72
18	61	92	35	45	7	43
49	88	76	31	72	50	66
60	71	83	45	31	51	72
55	55	63	47	25	53	69
52	79	77	58	46	55	77
55	55	63	47	25	53	69
54	80	78	73	49	56	78
29	54	49	23	34	11	43
40	64	78	15	52	31	50
60	71	83	45	31	51	72
46	75	85	45	46	35	65
34	66	75	41	33	34	63
46	75	85	45	46	35	65
52	62	80	49	41	53	67
43	66	80	17	41	45	64
52	58	67	61	34	49	64
60	71	83	45	31	51	72
28	54	84	35	35	38	61
40	64	78	15	52	31	50
28	54	84	35	35	38	61
39	63	80	38	37	30	53
45	66	68	34	35	23	58
45	66	68	34	35	23	58
40	64	78	15	52	31	50
85	71	83	60	47	50	81
50	76	86	55	48	56	71
81	77	74	71	55	68	85
60	71	83	45	31	51	72
45	66	68	34	35	23	58
15	43	64	33	33	22	50
85	71	83	60	47	50	81
47	59	77	47	35	43	68
40	64	78	15	52	31	50
4	50	57	15	49	18	40
34	66	75	41	33	34	63
20	63	73	50	47	41	63
29	54	49	23	34	11	43
45	70	66	48	41	51	71
4	50	57	15	49	18	40
45	70	66	48	41	51	71
52	58	67	61	34	49	64
46	75	85	45	46	35	65
15	43	64	33	33	22	50
14	51	83	8	38	27	48
66	60	54	71	36	76	81
60	71	83	45	31	51	72
75	64	78	65	39	43	82
