ventas	facebook	periodico	instagram	tv	ebay	Region
22.1	230.1	69.2	37.8	624	1602.1	3
10.4	44.5	45.1	39.3	395	41.5	3
9.3	17.2	69.3	45.9	604	355.2	2
18.5	151.5	58.5	41.3	376	1490.5	3
12.9	180.8	58.4	10.8	549	1363.8	3
7.2	8.7	75	48.9	153	741.7	1
11.8	57.5	23.5	32.8	394	637.5	4
13.2	120.2	11.6	19.6	866	661.2	3
4.8	8.6	1	2.1	570	1150.6	3
10.6	199.8	21.2	2.6	481	542.8	2
8.6	66.1	24.2	5.8	184	1019.1	2
17.4	214.7	4	24	25	729.7	4
9.2	23.8	65.9	35.1	839	1316.8	1
9.7	97.5	7.2	7.6	723	387.5	3
19	204.1	46	32.9	180	1147.1	2
22.4	195.4	52.9	47.7	788	1575.4	3
12.5	67.8	114	36.6	224	466.8	4
24.4	281.4	55.8	39.6	863	947.4	2
11.3	69.2	18.3	20.5	801	1427.2	2
14.6	147.3	19.1	23.9	468	500.3	4
18	218.4	53.4	27.7	76	120.4	3
12.5	237.4	23.5	5.1	119	1353.4	1
5.6	13.2	49.6	15.9	510	-39.8	3
15.5	228.3	26.2	16.9	845	1133.3	4
9.7	62.3	18.3	12.6	893	457.3	4
12	262.9	19.5	3.5	581	1874.9	1
15	142.9	12.6	29.3	406	479.9	1
15.9	240.1	22.9	16.7	628	1366.1	3
18.9	248.8	22.9	27.1	256	230.8	4
10.5	70.6	40.8	16	400	250.6	4
21.4	292.9	43.2	28.3	580	1967.9	4
11.9	112.9	38.6	17.4	445	781.9	3
9.6	97.2	30	1.5	461	1280.2	2
17.4	265.6	0.3	20	78	2211.6	1
9.5	95.7	7.4	1.4	860	389.7	4
12.8	290.7	8.5	4.1	638	430.7	1
25.4	266.9	5	43.8	830	2098.9	3
14.7	74.7	45.7	49.4	885	1425.7	3
10.1	43.1	35.1	26.7	841	846.1	1
21.5	228	32	37.7	29	1416	1
16.6	202.5	31.6	22.3	223	1899.5	1
17.1	177	38.7	33.4	359	1499	4
20.7	293.6	1.8	27.7	810	244.6	2
12.9	206.9	26.4	8.4	206	379.9	4
8.5	25.1	43.3	25.7	673	293.1	1
14.9	175.1	31.5	22.5	715	2124.1	3
10.6	89.7	35.7	9.9	438	1705.7	1
23.2	239.9	18.5	41.5	739	297.9	4
14.8	227.2	49.9	15.8	280	1708.2	3
9.7	66.9	36.8	11.7	161	1016.9	1
11.4	199.8	34.6	3.1	616	966.8	2
10.7	100.4	3.6	9.6	399	522.4	1
22.6	216.4	39.6	41.7	35	997.4	3
21.2	182.6	58.7	46.2	699	1026.6	2
20.2	262.7	15.9	28.8	857	2147.7	2
23.7	198.9	60	49.4	892	810.9	3
5.5	7.3	41.4	28.1	599	1532.3	2
13.2	136.2	16.6	19.2	856	84.2	3
23.8	210.8	37.7	49.6	543	209.8	3
18.4	210.7	9.3	29.5	226	1319.7	4
8.1	53.5	21.4	2	94	1449.5	1
24.2	261.3	54.7	42.7	230	2209.3	4
15.7	239.3	27.3	15.5	851	1031.3	3
14	102.7	8.4	29.6	36	1179.7	3
18	131.1	28.9	42.8	130	1981.1	2
9.3	69	0.9	9.3	726	1661	3
9.5	31.5	2.2	24.6	255	-7.5	4
13.4	139.3	10.2	14.5	864	849.3	2
18.9	237.4	11	27.5	204	1313.4	3
22.3	216.8	27.2	43.9	507	126.8	4
18.3	199.1	38.7	30.6	219	1287.1	2
12.4	109.8	31.7	14.3	854	1291.8	4
8.8	26.8	19.3	33	52	694.8	2
11	129.4	31.3	5.7	789	1887.4	4
17	213.4	13.1	24.6	98	132.4	4
8.7	16.9	89.4	43.7	112	1705.9	3
6.9	27.5	20.7	1.6	78	616.5	1
14.2	120.5	14.2	28.5	346	689.5	4
5.3	5.4	9.4	29.9	792	429.4	2
11	116	23.1	7.7	99	675	4
11.8	76.4	22.3	26.7	56	677.4	2
12.3	239.8	36.9	4.1	675	662.8	1
11.3	75.3	32.5	20.3	419	236.3	3
13.6	68.4	35.6	44.5	891	1083.4	2
21.7	213.5	33.8	43	185	450.5	1
15.2	193.2	65.7	18.4	318	1115.2	1
12	76.3	16	27.5	160	1187.3	1
16	110.7	63.2	40.6	863	1773.7	2
12.9	88.3	73.4	25.5	879	1117.3	3
16.7	109.8	51.4	47.8	375	1950.8	4
11.2	134.3	9.3	4.9	488	500.3	1
7.3	28.6	33	1.5	348	655.6	2
19.4	217.7	59	33.5	423	1891.7	4
22.2	250.9	72.3	36.5	808	199.9	2
11.5	107.4	10.9	14	640	333.4	4
16.9	163.3	52.9	31.6	30	1603.3	3
11.7	197.6	5.9	3.5	131	1344.6	3
15.5	184.9	22	21	342	2147.9	1
25.4	289.7	51.2	42.3	397	1442.7	1
17.2	135.2	45.9	41.7	359	462.2	4
11.7	222.4	49.8	4.3	878	484.4	4
23.8	296.4	100.9	36.3	42	2248.4	1
14.8	280.2	21.4	10.1	508	459.2	4
14.7	187.9	17.9	17.2	673	1787.9	4
20.7	238.2	5.3	34.3	859	187.2	1
19.2	137.9	59	46.4	900	198.9	2
7.2	25	29.7	11	496	1111	2
8.7	90.4	23.2	0.3	436	335.4	2
5.3	13.1	25.6	0.4	519	10.1	1
19.8	255.4	5.5	26.9	506	1971.4	3
13.4	225.8	56.5	8.2	437	1417.8	4
21.8	241.7	23.2	38	716	2101.7	4
14.1	175.7	2.4	15.4	58	780.7	4
15.9	209.6	10.7	20.6	813	1651.6	1
14.6	78.2	34.5	46.8	524	113.2	3
12.6	75.1	52.7	35	177	104.1	3
12.2	139.2	25.6	14.3	634	673.2	1
9.4	76.4	14.8	0.8	479	770.4	1
15.9	125.7	79.2	36.9	739	678.7	3
6.6	19.4	22.3	16	573	858.4	1
15.5	141.3	46.2	26.8	574	1227.3	1
7	18.8	50.4	21.7	567	-32.2	2
11.6	224	15.6	2.4	540	982	2
15.2	123.1	12.4	34.6	406	1434.1	1
19.7	229.5	74.2	32.3	643	1703.5	3
10.6	87.2	25.9	11.8	703	1725.2	2
6.6	7.8	50.6	38.9	132	748.8	4
8.8	80.2	9.2	0	545	1157.2	1
24.7	220.3	3.2	49	87	1809.3	2
9.7	59.6	43.1	12	509	1551.6	2
1.6	0.7	8.7	39.6	670	962.7	4
12.7	265.2	43	2.9	870	1828.2	1
5.7	8.4	2.1	27.2	368	825.4	2
19.6	219.8	45.1	33.5	543	361.8	3
10.8	36.9	65.6	38.6	568	1260.9	3
11.6	48.3	8.5	47	61	422.3	4
9.5	25.6	9.3	39	161	1308.6	4
20.8	273.7	59.7	28.9	542	1497.7	2
9.6	43	20.5	25.9	758	37	1
20.7	184.9	1.7	43.9	717	1272.9	3
10.9	73.4	12.9	17	851	1535.4	4
19.2	193.7	75.6	35.4	46	1245.7	3
20.1	220.5	37.9	33.2	292	946.5	1
10.4	104.6	34.4	5.7	241	332.6	2
11.4	96.2	38.9	14.8	804	1484.2	1
10.3	140.3	9	1.9	8	889.3	3
13.2	240.1	8.7	7.3	849	1912.1	1
25.4	243.2	44.3	49	70	1884.2	2
10.9	38	11.9	40.3	708	1110	4
10.1	44.7	20.6	25.8	445	169.7	2
16.1	280.7	37	13.9	353	1352.7	2
11.6	121	48.7	8.4	486	462	2
16.6	197.6	14.2	23.3	584	1379.6	2
19	171.3	37.7	39.7	389	885.3	2
15.6	187.8	9.5	21.1	698	1407.8	4
3.2	4.1	5.7	11.6	166	1213.1	3
15.3	93.9	50.5	43.5	215	1245.9	4
10.1	149.8	24.3	1.3	92	70.8	4
7.3	11.7	45.2	36.9	687	220.7	4
12.9	131.7	34.6	18.4	748	1161.7	2
14.4	172.5	30.7	18.1	639	279.5	4
13.3	85.7	49.3	35.8	256	1499.7	1
14.9	188.4	25.6	18.1	414	1632.4	4
18	163.5	7.4	36.8	80	1454.5	3
11.9	117.2	5.4	14.7	249	1544.2	2
11.9	234.5	84.8	3.4	374	1741.5	3
8	17.9	21.6	37.6	297	1491.9	2
12.2	206.8	19.4	5.2	301	2077.8	1
